LP,Nazwa,ISIN,Cena K,Cena S,Rent.K,Rent.S,Cena fix,Rent fix,Date
1,DS0726,PL0000108866,99.64,99.85,3.33,2.82,99.75,3.07,2026-02-20
2,PS1026,PL0000113460,98.04,98.25,3.25,2.93,98.15,3.08,2026-02-20
3,WZ1126,PL0000113130,100.50,100.59,-,-,100.55,-,2026-02-20
4,OK0127,PL0000117289,97.15,97.37,3.20,2.94,97.26,3.07,2026-02-20
5,PS0527,PL0000114393,100.57,100.76,3.27,3.11,100.67,3.18,2026-02-20
6,DS0727,PL0000109427,98.80,99.00,3.38,3.23,98.90,3.30,2026-02-20
7,WZ1127,PL0000114559,100.13,100.31,-,-,100.22,-,2026-02-20
8,OK0128,PL0000118089,93.63,93.78,3.49,3.41,93.71,3.45,2026-02-20
9,WS0428,PL0000107611,98.43,98.63,3.51,3.41,98.53,3.46,2026-02-20
10,WZ0528,PL0000110383,99.88,100.07,-,-,99.98,-,2026-02-20
11,PS0728,PL0000115192,108.87,109.05,3.58,3.51,108.96,3.54,2026-02-20
12,WZ1128,PL0000115697,99.57,99.77,-,-,99.67,-,2026-02-20
13,WS0429,PL0000105391,105.51,105.74,3.86,3.78,105.63,3.82,2026-02-20
14,PS0729,PL0000116760,102.61,102.73,3.91,3.87,102.67,3.89,2026-02-20
15,DS1029,PL0000111498,95.96,96.16,3.95,3.89,96.06,3.92,2026-02-20
16,WZ1129,PL0000111928,98.75,99.01,-,-,98.88,-,2026-02-20
17,PS0130,PL0000117370,103.24,103.49,4.08,4.01,103.37,4.05,2026-02-20
18,WZ0330,PL0000117198,98.42,98.62,-,-,98.52,-,2026-02-20
19,PS0730,PL0000117990,101.21,101.45,4.19,4.13,101.33,4.16,2026-02-20
20,WZ0930,PL0000118170,98.04,98.18,-,-,98.11,-,2026-02-20
21,DS1030,PL0000112736,87.65,87.92,4.22,4.15,87.79,4.18,2026-02-20
22,PS0131,PL0000118519,100.92,101.11,4.28,4.24,101.02,4.26,2026-02-20
23,WZ1131,PL0000113213,97.50,97.79,-,-,97.65,-,2026-02-20
24,DS0432,PL0000113783,85.48,85.70,4.49,4.45,85.59,4.47,2026-02-20
25,DS1033,PL0000115291,108.05,108.23,4.72,4.69,108.14,4.70,2026-02-20
26,DS1034,PL0000116851,100.91,101.14,4.86,4.83,101.03,4.84,2026-02-20
27,DS1035,PL0000118188,100.05,100.26,4.99,4.96,100.16,4.97,2026-02-20
28,IZ0836,PL0000117024,93.63,94.04,-,-,93.84,-,2026-02-20
